id,state,medianHouseValue,housingMedianAge,totalBedrooms,totalRooms,households,population,medianIncome
1,CA,452.603,45.0,131.0,884.0,130.0,323.0,83252.0
2,CA,358.502,23.0,1108.0,7103.0,1141.0,2403.0,83013.99999999999
3,CA,352.104,53.0,193.0,1468.0,180.0,500.0,72574.0
4,CA,341.3,55.0,236.0,1278.0,222.0,558.0,56430.99999999999
5,CA,342.2,54.0,282.0,1628.0,262.0,568.0,38462.0
6,CA,269.702,55.0,216.0,919.0,195.0,417.0,40368.00000000001
7,CA,299.202,56.0,489.0,2536.0,517.0,1094.0,36591.0
11,CA,281.501,nan,438.0,2203.0,403.0,913.0,32031.0
90,CA,500.003,56.0,80.0,251.0,86.0,399.0,12434.0
102,CA,273.403,28.0,1604.0,5806.0,1497.0,2563.0,32176.999999999996
104,CA,350.003,55.0,705.0,2156.0,616.0,898.0,25795.0
105,CA,335.701,35.0,1917.0,5872.0,1792.0,2692.0,28405.999999999996
106,CA,313.404,52.0,228.0,1511.0,244.0,674.0,49306.0
107,CA,268.5,56.0,485.0,2030.0,459.0,713.0,32727.0
109,CA,275.7,53.0,752.0,3482.0,720.0,1448.0,39000.0
119,CA,327.6,50.0,403.0,2519.0,374.0,972.0,58596.0
120,CA,347.602,50.0,455.0,3176.0,486.0,1099.0,52868.00000000001
121,CA,366.102,43.0,407.0,2579.0,376.0,794.0,59560.00000000001
122,CA,335.003,38.0,56.0,334.0,51.0,102.0,49643.0
123,CA,373.603,53.0,411.0,2801.0,403.0,1064.0,63434.0
124,CA,389.503,56.0,575.0,3533.0,556.0,1181.0,51773.0
125,CA,391.102,54.0,367.0,2614.0,367.0,903.0,72354.0
126,CA,337.303,31.0,1048.0,5289.0,958.0,2033.0,54570.0
127,CA,295.204,51.0,477.0,2936.0,481.0,1033.0,75000.0
128,CA,292.304,48.0,598.0,3427.0,598.0,1362.0,60194.0
129,CA,411.504,40.0,678.0,4991.0,657.0,1617.0,75544.0
130,CA,311.501,30.0,347.0,2215.0,345.0,844.0,60666.0
131,CA,325.901,34.0,490.0,3040.0,500.0,1140.0,70548.0
132,CA,392.601,21.0,210.0,1617.0,196.0,537.0,116016.99999999999
133,CA,319.303,36.0,463.0,2866.0,447.0,1073.0,74882.0
134,CA,333.302,36.0,790.0,5067.0,769.0,1631.0,68976.0
135,CA,335.201,29.0,186.0,1328.0,190.0,467.0,82049.0
136,CA,351.203,27.0,223.0,1589.0,212.0,545.0,84010.0
137,CA,368.9,29.0,275.0,1794.0,269.0,664.0,68538.0
138,CA,365.901,34.0,264.0,1839.0,264.0,638.0,83170.0
139,CA,366.701,37.0,184.0,1231.0,177.0,420.0,70175.0
140,CA,362.804,42.0,535.0,3771.0,502.0,1267.0,63301.99999999999
141,CA,483.304,34.0,38.0,292.0,56.0,130.0,63624.0
142,CA,331.403,54.0,333.0,2377.0,352.0,817.0,70549.0
143,CA,323.503,nan,439.0,2967.0,428.0,1070.0,67851.0
146,CA,296.402,55.0,212.0,1392.0,224.0,513.0,52402.0
147,CA,273.7,nan,339.0,1973.0,311.0,769.0,65217.0
151,CA,270.102,52.0,343.0,2027.0,343.0,757.0,40720.0
152,CA,302.104,54.0,536.0,2945.0,524.0,1036.0,53509.0
153,CA,269.502,52.0,489.0,2037.0,461.0,787.0,31603.0
154,CA,314.704,55.0,231.0,1437.0,217.0,616.0,47708.00000000001
155,CA,390.102,54.0,403.0,2930.0,380.0,1025.0,81564.0
156,CA,410.301,52.0,293.0,2317.0,262.0,861.0,88793.0
157,CA,352.4,52.0,313.0,2485.0,328.0,957.0,68591.0
158,CA,287.302,nan,240.0,1492.0,257.0,637.0,60302.0
159,CA,348.704,52.0,368.0,2816.0,355.0,882.0,75080.0
163,CA,269.904,56.0,505.0,2516.0,522.0,1049.0,36750.0
223,CA,273.003,nan,502.0,3045.0,456.0,1115.0,49559.0
280,CA,336.704,39.0,265.0,1644.0,267.0,622.0,54446.0
281,CA,318.204,34.0,197.0,1357.0,198.0,443.0,62838.0
282,CA,285.802,25.0,340.0,2321.0,328.0,958.0,67527.0
283,CA,293.0,28.0,318.0,2463.0,327.0,920.0,70712.0
284,CA,371.003,25.0,2051.0,12845.0,1970.0,4986.0,59849.0
359,CA,279.101,nan,365.0,2232.0,359.0,1300.0,48304.0
361,CA,275.403,30.0,493.0,3267.0,536.0,1224.0,53700.0
363,CA,329.801,30.0,112.0,798.0,109.0,331.0,76923.0
366,CA,311.103,33.0,58.0,417.0,53.0,140.0,49750.0
367,CA,330.001,40.0,96.0,772.0,95.0,231.0,53602.0
386,CA,276.8,49.0,238.0,1284.0,237.0,577.0,33333.0
387,CA,270.904,55.0,266.0,1606.0,287.0,598.0,53380.0
396,CA,350.004,41.0,930.0,3063.0,926.0,2560.0,17375.0
399,CA,270.601,53.0,177.0,979.0,154.0,378.0,51675.00000000001
403,CA,375.402,44.0,276.0,1654.0,257.0,648.0,56228.0
404,CA,357.304,55.0,282.0,1928.0,290.0,706.0,78864.0
405,CA,374.404,56.0,277.0,2080.0,278.0,687.0,79556.0
406,CA,358.8,56.0,243.0,1803.0,239.0,576.0,61740.00000000001
407,CA,417.502,56.0,271.0,2044.0,256.0,672.0,69414.0
408,CA,430.501,54.0,376.0,3049.0,367.0,975.0,88341.99999999999
409,CA,362.902,56.0,331.0,2319.0,316.0,782.0,71754.0
410,CA,397.002,56.0,253.0,2003.0,244.0,659.0,100825.0
411,CA,346.803,52.0,330.0,2264.0,337.0,821.0,49083.0
412,CA,327.1,55.0,173.0,1225.0,168.0,415.0,57912.0
413,CA,290.103,nan,411.0,2317.0,369.0,836.0,45893.0
414,CA,292.004,52.0,332.0,2074.0,307.0,723.0,54170.99999999999
415,CA,270.902,56.0,475.0,2616.0,491.0,1085.0,41250.0
416,CA,371.102,56.0,368.0,2644.0,357.0,974.0,72660.0
417,CA,335.602,nan,295.0,1982.0,276.0,727.0,53989.0
418,CA,371.303,37.0,339.0,2221.0,366.0,906.0,78336.0
419,CA,344.001,44.0,196.0,1127.0,181.0,356.0,61593.0
420,CA,342.203,52.0,497.0,3081.0,465.0,1005.0,63810.0
421,CA,370.903,52.0,534.0,3710.0,507.0,1206.0,66828.0
422,CA,350.003,39.0,460.0,3001.0,451.0,987.0,75385.0
