id,state,medianHouseValue,housingMedianAge,totalBedrooms,totalRooms,households,population,medianIncome
23,CA,113.903,nan,543.0,2438.0,481.0,1016.0,17250.0
24,CA,99.701,56.0,337.0,1692.0,328.0,856.0,21806.0
26,CA,107.5,41.0,123.0,535.0,121.0,317.0,24038.0
27,CA,93.803,53.0,244.0,1132.0,241.0,607.0,24597.000000000004
28,CA,105.504,52.0,423.0,1899.0,400.0,1104.0,18080.0
29,CA,108.9,53.0,492.0,2082.0,474.0,1134.0,16424.0
32,CA,115.204,52.0,481.0,2155.0,442.0,1172.0,19615.0
33,CA,110.403,49.0,412.0,1924.0,337.0,1026.0,17969.0
34,CA,104.904,52.0,367.0,1657.0,329.0,754.0,13750.0
35,CA,109.703,53.0,578.0,2667.0,539.0,1261.0,27303.0
36,CA,97.202,52.0,284.0,1216.0,266.0,572.0,14861.0
37,CA,104.503,51.0,432.0,1798.0,375.0,987.0,10972.0
38,CA,103.902,55.0,390.0,1511.0,404.0,902.0,14103.000000000002
43,CA,118.803,51.0,202.0,715.0,189.0,466.0,10250.0
50,CA,112.503,44.0,379.0,948.0,355.0,700.0,17750.0
52,CA,93.8,46.0,460.0,1872.0,407.0,1063.0,15045.0
53,CA,97.501,41.0,854.0,3222.0,722.0,1960.0,11108.0
54,CA,104.201,54.0,457.0,1631.0,401.0,1162.0,12475.0
55,CA,87.5,52.0,237.0,1174.0,234.0,702.0,16097.999999999998
56,CA,83.102,53.0,243.0,949.0,223.0,577.0,14113.0
57,CA,87.5,55.0,292.0,1241.0,259.0,625.0,15057.0
58,CA,85.302,55.0,336.0,1490.0,246.0,728.0,8172.0
59,CA,80.301,56.0,342.0,1388.0,304.0,1077.0,12171.0
60,CA,60.001,4.0,46.0,162.0,57.0,98.0,25625.0
61,CA,75.703,55.0,214.0,1125.0,190.0,558.0,33929.0
62,CA,75.003,51.0,32.0,139.0,24.0,89.0,61182.99999999999
63,CA,86.101,52.0,190.0,762.0,125.0,378.0,9011.0
64,CA,76.101,56.0,238.0,1228.0,159.0,524.0,11910.0
65,CA,73.504,48.0,183.0,829.0,133.0,393.0,25938.0
66,CA,78.4,56.0,213.0,1010.0,191.0,608.0,11667.0
67,CA,84.404,50.0,357.0,1456.0,334.0,792.0,8056.0
68,CA,81.3,56.0,247.0,1031.0,147.0,495.0,26094.0
69,CA,85.004,55.0,110.0,573.0,86.0,277.0,18516.0
71,CA,82.501,29.0,153.0,769.0,129.0,393.0,17719.0
72,CA,95.2,50.0,301.0,938.0,278.0,582.0,7286.0
73,CA,75.003,51.0,207.0,847.0,153.0,562.0,17500.0
74,CA,67.503,46.0,4.0,16.0,9.0,20.0,4849.0
77,CA,102.104,38.0,563.0,2916.0,509.0,1237.0,24464.0
78,CA,108.304,20.0,244.0,1208.0,208.0,723.0,11111.0
79,CA,112.5,26.0,375.0,1749.0,326.0,1058.0,8026.0
82,CA,112.5,54.0,59.0,211.0,56.0,187.0,11667.0
83,CA,112.503,52.0,101.0,340.0,89.0,200.0,15208.0
85,CA,118.802,35.0,187.0,951.0,173.0,467.0,18088.0
86,CA,98.202,55.0,143.0,776.0,118.0,379.0,24083.0
87,CA,118.801,44.0,455.0,882.0,383.0,582.0,9770.0
170,CA,97.502,45.0,530.0,1790.0,461.0,1478.0,17772.0
173,CA,116.7,38.0,609.0,1678.0,544.0,1647.0,22303.0
185,CA,111.902,nan,299.0,1256.0,282.0,846.0,23929.0
186,CA,112.8,46.0,1345.0,5965.0,1233.0,4370.0,21917.0
187,CA,107.903,56.0,399.0,1784.0,413.0,1659.0,29357.000000000004
189,CA,105.503,40.0,432.0,1469.0,393.0,1467.0,21638.0
190,CA,95.502,48.0,396.0,1374.0,306.0,1240.0,21250.0
191,CA,116.104,56.0,180.0,675.0,172.0,650.0,33750.0
192,CA,112.202,46.0,377.0,1629.0,357.0,1285.0,22542.0
193,CA,75.002,51.0,44.0,177.0,55.0,228.0,21000.0
194,CA,112.501,43.0,129.0,461.0,125.0,384.0,16000.0
196,CA,115.002,21.0,783.0,2374.0,679.0,1659.0,16929.0
197,CA,95.001,52.0,132.0,391.0,139.0,523.0,16471.0
198,CA,96.404,53.0,305.0,1139.0,259.0,868.0,25900.0
199,CA,72.001,55.0,210.0,769.0,187.0,613.0,25700.0
200,CA,71.304,52.0,147.0,476.0,129.0,416.0,26429.0
201,CA,80.801,55.0,217.0,862.0,215.0,998.0,30257.0
203,CA,112.502,46.0,472.0,1422.0,440.0,1507.0,19338.0
204,CA,119.404,52.0,259.0,989.0,258.0,1010.0,14844.0
205,CA,118.102,47.0,827.0,2340.0,753.0,2817.0,16009.0
207,CA,106.3,49.0,217.0,1175.0,219.0,863.0,22930.0
210,CA,113.302,44.0,202.0,932.0,186.0,564.0,13281.0
211,CA,109.504,44.0,315.0,1487.0,272.0,964.0,35156.0
240,CA,115.403,49.0,532.0,2021.0,481.0,1414.0,27788.0
245,CA,111.704,46.0,714.0,2969.0,610.0,2271.0,23906.0
247,CA,111.301,51.0,252.0,884.0,242.0,757.0,26250.0
248,CA,114.802,40.0,114.0,494.0,136.0,550.0,28015.0
249,CA,102.304,52.0,475.0,1777.0,440.0,1808.0,17276.0
251,CA,119.103,52.0,466.0,1639.0,393.0,1546.0,24890.0
252,CA,80.6,53.0,314.0,1421.0,302.0,1086.0,17546.0
253,CA,80.601,56.0,176.0,594.0,139.0,355.0,40904.0
254,CA,88.803,56.0,156.0,749.0,151.0,473.0,26765.0
255,CA,102.402,51.0,499.0,2273.0,484.0,1622.0,24338.000000000004
256,CA,98.704,49.0,375.0,1236.0,358.0,1183.0,23309.000000000004
257,CA,100.004,47.0,330.0,1020.0,278.0,839.0,22604.000000000004
258,CA,92.302,44.0,256.0,932.0,266.0,903.0,18039.0
259,CA,94.804,43.0,601.0,2691.0,540.0,1890.0,22562.000000000004
260,CA,102.0,45.0,417.0,1549.0,341.0,1025.0,20562.0
265,CA,102.802,47.0,414.0,1729.0,396.0,1243.0,23125.0
296,CA,90.703,31.0,535.0,2428.0,456.0,1363.0,18710.0
297,CA,90.604,41.0,367.0,1597.0,358.0,1077.0,19356.0
298,CA,107.902,51.0,416.0,2119.0,383.0,965.0,21842.0
299,CA,107.004,40.0,359.0,1579.0,320.0,935.0,22917.0
300,CA,98.204,42.0,399.0,1768.0,354.0,987.0,24333.0
301,CA,89.502,53.0,262.0,1190.0,250.0,908.0,19479.0
302,CA,93.802,54.0,176.0,754.0,166.0,451.0,39063.0
303,CA,96.7,51.0,453.0,2311.0,454.0,1303.0,18407.0
304,CA,97.503,28.0,237.0,912.0,158.0,400.0,20785.999999999996
305,CA,97.3,46.0,261.0,1181.0,268.0,878.0,28125.0
306,CA,91.202,44.0,409.0,2019.0,367.0,1112.0,18913.0
307,CA,91.4,52.0,284.0,1368.0,272.0,790.0,17056.0
308,CA,96.2,54.0,551.0,2748.0,554.0,1480.0,22768.0
310,CA,100.0,56.0,362.0,1752.0,370.0,1029.0,20556.0
311,CA,94.702,55.0,392.0,2028.0,353.0,1032.0,24659.0
312,CA,85.701,48.0,263.0,1116.0,281.0,830.0,17500.0
313,CA,89.302,41.0,510.0,2040.0,454.0,1415.0,20469.0
314,CA,101.401,49.0,395.0,1855.0,353.0,1132.0,27159.0
315,CA,72.5,41.0,207.0,923.0,162.0,523.0,12083.0
316,CA,74.102,47.0,239.0,996.0,237.0,632.0,19250.0
317,CA,70.004,37.0,133.0,609.0,137.0,535.0,15809.0
318,CA,84.601,37.0,739.0,2684.0,668.0,1929.0,14097.0
319,CA,81.803,41.0,372.0,1494.0,354.0,1146.0,7683.0
320,CA,81.402,23.0,569.0,2209.0,524.0,1484.0,13193.999999999998
321,CA,81.8,31.0,191.0,858.0,165.0,439.0,8012.0
322,CA,85.804,28.0,298.0,1297.0,306.0,988.0,19479.0
323,CA,87.103,38.0,216.0,850.0,161.0,568.0,11765.000000000002
324,CA,83.503,43.0,155.0,541.0,127.0,383.0,23456.0
325,CA,79.701,44.0,255.0,1069.0,245.0,829.0,21538.0
326,CA,83.4,44.0,151.0,708.0,158.0,420.0,25139.0
327,CA,84.703,45.0,294.0,1532.0,288.0,803.0,12625.0
328,CA,80.004,46.0,218.0,909.0,199.0,646.0,29063.0
329,CA,76.401,44.0,293.0,1395.0,286.0,855.0,25192.0
330,CA,79.701,46.0,123.0,551.0,137.0,437.0,21111.0
331,CA,82.403,45.0,875.0,4074.0,781.0,2738.0,24550.0
332,CA,97.703,42.0,445.0,1614.0,418.0,1481.0,24028.0
333,CA,97.202,50.0,135.0,463.0,141.0,327.0,21500.0
334,CA,101.604,45.0,196.0,820.0,180.0,494.0,24775.999999999996
335,CA,86.504,47.0,371.0,1473.0,342.0,1233.0,21587.0
336,CA,90.504,36.0,128.0,505.0,113.0,323.0,18438.0
