id,state,medianHouseValue,housingMedianAge,totalBedrooms,totalRooms,households,population,medianIncome
8,CA,241.403,53.0,688.0,3104.0,648.0,1161.0,31200.0
9,CA,226.701,nan,668.0,2558.0,598.0,1210.0,20804.0
10,CA,261.102,52.0,710.0,3550.0,717.0,1552.0,36912.0
12,CA,241.801,53.0,755.0,3506.0,734.0,1508.0,32705.000000000004
13,CA,213.504,53.0,478.0,2492.0,468.0,1101.0,30750.0
14,CA,191.303,55.0,195.0,696.0,178.0,349.0,26736.0
15,CA,159.2,52.0,626.0,2643.0,623.0,1214.0,19167.0
16,CA,140.002,50.0,285.0,1122.0,264.0,699.0,21250.0
17,CA,152.504,53.0,348.0,1966.0,334.0,793.0,27750.0
18,CA,155.503,53.0,293.0,1232.0,305.0,651.0,21202.0
19,CA,158.702,52.0,455.0,2241.0,423.0,992.0,19911.0
20,CA,162.9,56.0,299.0,1505.0,275.0,691.0,26033.0
21,CA,147.501,43.0,188.0,753.0,166.0,412.0,13577.999999999998
22,CA,159.804,45.0,371.0,1643.0,368.0,933.0,17135.0
25,CA,132.603,55.0,440.0,2226.0,423.0,1009.0,26000.0
30,CA,132.003,53.0,162.0,729.0,159.0,395.0,16875.0
31,CA,122.3,nan,447.0,1917.0,379.0,866.0,19274.0
39,CA,191.402,55.0,331.0,1470.0,312.0,692.0,34800.0
40,CA,176.0,53.0,715.0,2435.0,700.0,1381.0,25898.0
41,CA,155.402,52.0,419.0,1667.0,397.0,948.0,20978.0
42,CA,150.003,51.0,314.0,938.0,249.0,520.0,12851.999999999998
44,CA,188.801,nan,203.0,952.0,202.0,467.0,39643.0
45,CA,184.403,52.0,314.0,1443.0,296.0,663.0,30125.0
46,CA,182.302,52.0,420.0,1659.0,384.0,720.0,26768.0
47,CA,142.504,52.0,324.0,1127.0,305.0,620.0,20259.999999999996
48,CA,137.5,46.0,312.0,1011.0,256.0,562.0,17348.0
49,CA,187.502,43.0,197.0,624.0,160.0,426.0,9506.0
51,CA,171.904,25.0,453.0,900.0,440.0,738.0,9218.0
70,CA,129.2,50.0,645.0,2802.0,615.0,1826.0,9802.0
75,CA,137.504,23.0,163.0,835.0,133.0,291.0,24830.0
76,CA,177.502,nan,466.0,1241.0,442.0,763.0,9241.0
80,CA,131.302,42.0,179.0,684.0,159.0,348.0,20114.0
81,CA,162.5,20.0,290.0,928.0,289.0,611.0,15000.0
84,CA,137.5,52.0,167.0,386.0,159.0,348.0,8075.0
88,CA,162.503,12.0,352.0,878.0,334.0,546.0,7600.0
89,CA,137.504,14.0,43.0,106.0,40.0,129.0,9722.0
91,CA,162.5,17.0,393.0,997.0,362.0,804.0,20938.0
92,CA,137.504,53.0,87.0,216.0,90.0,905.0,8668.0
93,CA,162.501,56.0,35.0,100.0,36.0,195.0,7500.0
94,CA,187.5,30.0,347.0,1055.0,306.0,721.0,26354.000000000004
95,CA,179.203,42.0,625.0,1719.0,470.0,1329.0,18477.0
96,CA,130.001,nan,2479.0,5331.0,2327.0,3473.0,20096.0
97,CA,183.801,34.0,1332.0,4599.0,1183.0,2052.0,28344.999999999996
98,CA,125.0,29.0,109.0,339.0,94.0,202.0,20062.000000000004
99,CA,170.003,22.0,1270.0,3682.0,1254.0,2025.0,12185.0
100,CA,193.103,41.0,1089.0,3637.0,984.0,1842.0,26104.0
101,CA,257.802,32.0,1418.0,4659.0,1252.0,2306.0,24912.0
103,CA,237.504,41.0,242.0,856.0,231.0,390.0,31250.0
