id,longitude,latitude
1,-122.23,37.88
2,-122.22,37.86
3,-122.24,37.85
4,-122.25,37.85
5,-122.25,37.85
6,-122.25,37.85
7,-122.25,37.84
8,-122.25,37.84
9,-122.26,37.84
10,-122.25,37.84
11,-122.26,37.85
12,-122.26,37.85
13,-122.26,37.85
14,-122.26,37.84
15,-122.26,37.85
16,-122.26,37.85
17,-122.27,37.85
18,-122.27,37.85
19,-122.26,37.84
20,-122.27,37.84
21,-122.27,37.85
22,-122.27,37.85
23,-122.27,37.84
24,-122.27,37.84
25,-122.27,37.84
26,-122.28,37.85
27,-122.28,37.85
28,-122.28,37.85
29,-122.28,37.84
30,-122.28,37.84
31,-122.28,37.84
32,-122.28,37.84
33,-122.27,37.84
34,-122.27,37.83
35,-122.27,37.83
36,-122.27,37.83
37,-122.27,37.83
38,-122.28,37.83
39,-122.26,37.83
40,-122.26,37.83
41,-122.26,37.83
42,-122.26,37.83
43,-122.26,37.84
44,-122.26,37.84
45,-122.26,37.83
46,-122.26,37.83
47,-122.26,37.83
48,-122.27,37.82
49,-122.26,37.82
50,-122.27,37.82
51,-122.27,37.82
52,-122.27,37.82
53,-122.27,37.82
54,-122.27,37.82
55,-122.28,37.82
56,-122.28,37.82
57,-122.28,37.82
58,-122.28,37.82
59,-122.28,37.82
60,-122.29,37.82
61,-122.29,37.83
62,-122.29,37.82
63,-122.29,37.81
64,-122.3,37.81
65,-122.3,37.81
66,-122.3,37.81
67,-122.3,37.81
68,-122.29,37.8
69,-122.3,37.81
70,-122.29,37.81
71,-122.29,37.81
72,-122.29,37.81
73,-122.29,37.81
74,-122.29,37.81
75,-122.29,37.81
76,-122.28,37.81
77,-122.28,37.81
78,-122.28,37.81
79,-122.29,37.81
80,-122.28,37.8
81,-122.28,37.81
82,-122.27,37.81
83,-122.28,37.81
84,-122.28,37.81
85,-122.28,37.81
86,-122.28,37.81
87,-122.27,37.81
88,-122.27,37.81
89,-122.27,37.8
90,-122.27,37.8
91,-122.27,37.8
92,-122.28,37.8
93,-122.28,37.8
94,-122.27,37.79
95,-122.27,37.8
96,-122.26,37.8
97,-122.26,37.82
98,-122.26,37.81
99,-122.26,37.82
100,-122.26,37.82
101,-122.25,37.81
102,-122.25,37.81
103,-122.25,37.81
104,-122.25,37.81
105,-122.26,37.81
106,-122.24,37.82
107,-122.24,37.81
108,-122.25,37.81
109,-122.24,37.82
