ocean_proximity,longitude,latitude
NEAR BAY,-122.23,37.88
NEAR BAY,-122.22,37.86
NEAR BAY,-122.24,37.85
NEAR BAY,-122.25,37.85
NEAR BAY,-122.25,37.84
NEAR BAY,-122.26,37.84
NEAR BAY,-122.26,37.85
NEAR BAY,-122.27,37.85
NEAR BAY,-122.27,37.84
NEAR BAY,-122.28,37.85
NEAR BAY,-122.28,37.84
NEAR BAY,-122.27,37.83
NEAR BAY,-122.28,37.83
NEAR BAY,-122.26,37.83
NEAR BAY,-122.27,37.82
NEAR BAY,-122.26,37.82
NEAR BAY,-122.28,37.82
NEAR BAY,-122.29,37.82
NEAR BAY,-122.29,37.83
NEAR BAY,-122.29,37.81
NEAR BAY,-122.3,37.81
NEAR BAY,-122.29,37.8
NEAR BAY,-122.28,37.81
NEAR BAY,-122.28,37.8
NEAR BAY,-122.27,37.81
NEAR BAY,-122.27,37.8
NEAR BAY,-122.27,37.79
NEAR BAY,-122.26,37.8
NEAR BAY,-122.26,37.81
NEAR BAY,-122.25,37.81
NEAR BAY,-122.24,37.82
NEAR BAY,-122.24,37.81
NEAR BAY,-122.25,37.82
NEAR BAY,-122.25,37.83
NEAR BAY,-122.23,37.84
NEAR BAY,-122.24,37.83
NEAR BAY,-122.23,37.85
NEAR BAY,-122.24,37.84
NEAR BAY,-122.22,37.85
NEAR BAY,-122.22,37.84
NEAR BAY,-122.21,37.84
NEAR BAY,-122.21,37.83
NEAR BAY,-122.2,37.84
NEAR BAY,-122.19,37.84
NEAR BAY,-122.19,37.83
NEAR BAY,-122.2,37.83
NEAR BAY,-122.19,37.82
NEAR BAY,-122.2,37.82
NEAR BAY,-122.18,37.81
NEAR BAY,-122.21,37.82
NEAR BAY,-122.2,37.81
NEAR BAY,-122.21,37.8
NEAR BAY,-122.21,37.81
NEAR BAY,-122.22,37.81
NEAR BAY,-122.22,37.8
NEAR BAY,-122.23,37.8
NEAR BAY,-122.23,37.81
NEAR BAY,-122.24,37.8
NEAR BAY,-122.25,37.8
NEAR BAY,-122.24,37.79
NEAR BAY,-122.25,37.79
NEAR BAY,-122.23,37.79
NEAR BAY,-122.22,37.77
NEAR BAY,-122.23,37.77
NEAR BAY,-122.23,37.78
NEAR BAY,-122.22,37.78
NEAR BAY,-122.22,37.79
NEAR BAY,-122.21,37.79
NEAR BAY,-122.2,37.79
NEAR BAY,-122.2,37.8
NEAR BAY,-122.19,37.8
NEAR BAY,-122.19,37.79
NEAR BAY,-122.21,37.78
NEAR BAY,-122.21,37.76
NEAR BAY,-122.21,37.77
NEAR BAY,-122.2,37.77
NEAR BAY,-122.19,37.77
NEAR BAY,-122.2,37.78
NEAR BAY,-122.19,37.78
NEAR BAY,-122.18,37.78
NEAR BAY,-122.18,37.79
NEAR BAY,-122.18,37.8
NEAR BAY,-122.13,37.77
NEAR BAY,-122.16,37.79
NEAR BAY,-122.17,37.78
NEAR BAY,-122.17,37.77
NEAR BAY,-122.16,37.77
NEAR BAY,-122.17,37.76
NEAR BAY,-122.18,37.76
NEAR BAY,-122.18,37.77
NEAR BAY,-122.19,37.76
NEAR BAY,-122.2,37.76
NEAR BAY,-122.2,37.75
NEAR BAY,-122.19,37.75
NEAR BAY,-122.19,37.74
NEAR BAY,-122.18,37.74
NEAR BAY,-122.19,37.73
NEAR BAY,-122.18,37.73
NEAR BAY,-122.17,37.74
NEAR BAY,-122.17,37.73
NEAR BAY,-122.18,37.75
NEAR BAY,-122.17,37.75
NEAR BAY,-122.16,37.76
NEAR BAY,-122.16,37.75
NEAR BAY,-122.15,37.76
NEAR BAY,-122.14,37.77
NEAR BAY,-122.14,37.76
NEAR BAY,-122.13,37.76
NEAR BAY,-122.12,37.75
NEAR BAY,-122.14,37.75
NEAR BAY,-122.13,37.75
NEAR BAY,-122.13,37.74
NEAR BAY,-122.15,37.75
NEAR BAY,-122.15,37.74
NEAR BAY,-122.16,37.74
NEAR BAY,-122.29,37.9
NEAR BAY,-122.29,37.89
NEAR BAY,-122.3,37.9
NEAR BAY,-122.3,37.89
NEAR BAY,-122.33,37.89
NEAR BAY,-122.34,37.88
NEAR BAY,-122.29,37.88
NEAR BAY,-122.28,37.88
NEAR BAY,-122.27,37.9
NEAR BAY,-122.26,37.9
NEAR BAY,-122.27,37.89
NEAR BAY,-122.28,37.9
NEAR BAY,-122.28,37.89
NEAR BAY,-122.25,37.89
NEAR BAY,-122.26,37.89
NEAR BAY,-122.26,37.88
NEAR BAY,-122.27,37.88
NEAR BAY,-122.3,37.88
NEAR BAY,-122.3,37.87
NEAR BAY,-122.3,37.86
NEAR BAY,-122.29,37.85
NEAR BAY,-122.28,37.87
NEAR BAY,-122.29,37.87
NEAR BAY,-122.27,37.87
NEAR BAY,-122.25,37.87
NEAR BAY,-122.26,37.87
NEAR BAY,-122.28,37.86
NEAR BAY,-122.29,37.86
NEAR BAY,-122.27,37.86
NEAR BAY,-122.26,37.86
NEAR BAY,-122.25,37.86
NEAR BAY,-122.24,37.86
NEAR BAY,-122.29,37.84
NEAR BAY,-122.3,37.84
NEAR BAY,-122.23,37.83
NEAR BAY,-122.22,37.82
NEAR BAY,-122.23,37.82
NEAR BAY,-122.23,37.76
NEAR BAY,-122.24,37.77
NEAR BAY,-122.25,37.77
NEAR BAY,-122.26,37.78
NEAR BAY,-122.27,37.78
NEAR BAY,-122.28,37.79
NEAR BAY,-122.3,37.77
NEAR BAY,-122.28,37.78
NEAR BAY,-122.29,37.78
NEAR BAY,-122.28,37.77
NEAR BAY,-122.29,37.76
NEAR BAY,-122.26,37.77
NEAR BAY,-122.27,37.77
NEAR BAY,-122.24,37.76
NEAR BAY,-122.23,37.75
NEAR BAY,-122.24,37.75
NEAR BAY,-122.24,37.73
NEAR BAY,-122.25,37.74
NEAR BAY,-122.24,37.72
NEAR BAY,-122.27,37.73
NEAR BAY,-122.25,37.76
NEAR BAY,-122.27,37.74
NEAR BAY,-122.28,37.75
NEAR BAY,-122.06,37.77
NEAR BAY,-122.06,37.73
NEAR BAY,-122.06,37.71
NEAR BAY,-122.07,37.71
NEAR BAY,-122.07,37.72
NEAR BAY,-122.08,37.72
NEAR BAY,-122.08,37.71
NEAR BAY,-122.09,37.71
NEAR BAY,-122.1,37.72
NEAR BAY,-122.11,37.71
NEAR BAY,-122.1,37.7
NEAR BAY,-122.1,37.69
NEAR BAY,-122.09,37.7
NEAR BAY,-122.1,37.71
NEAR BAY,-122.08,37.7
NEAR BAY,-122.07,37.7
NEAR BAY,-122.06,37.7
NEAR BAY,-122.07,37.69
NEAR BAY,-122.08,37.69
NEAR BAY,-122.08,37.68
NEAR BAY,-122.09,37.69
NEAR BAY,-122.14,37.74
NEAR BAY,-122.14,37.73
NEAR BAY,-122.16,37.73
NEAR BAY,-122.15,37.73
